#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALOX5	NFKB1	9606.ENSP00000363512	9606.ENSP00000226574	0	0	0	0	0.084	0	0	0.423	0.449
ALOX5	IFNG	9606.ENSP00000363512	9606.ENSP00000229135	0	0	0	0	0.049	0	0	0.410	0.414
ALOX5	IL4	9606.ENSP00000363512	9606.ENSP00000231449	0	0	0	0	0.055	0	0.400	0.398	0.628
ALOX5	TLR2	9606.ENSP00000363512	9606.ENSP00000260010	0	0	0	0	0.277	0	0	0.313	0.482
ALOX5	IL1A	9606.ENSP00000363512	9606.ENSP00000263339	0	0	0	0	0.055	0	0	0.419	0.427
ALOX5	IL1B	9606.ENSP00000363512	9606.ENSP00000263341	0	0	0	0	0.141	0	0	0.577	0.621
ALOX5	IL18	9606.ENSP00000363512	9606.ENSP00000280357	0	0	0	0	0.088	0	0.750	0.270	0.819
ALOX5	CXCL8	9606.ENSP00000363512	9606.ENSP00000306512	0	0	0	0	0.044	0	0	0.479	0.480
ALOX5	PTGS1	9606.ENSP00000363512	9606.ENSP00000354612	0	0	0	0	0.130	0	0.900	0.692	0.970
ALOX5	PTGS2	9606.ENSP00000363512	9606.ENSP00000356438	0	0	0	0	0.072	0	0.900	0.741	0.973
ALOX5	TLR4	9606.ENSP00000363512	9606.ENSP00000363089	0	0	0	0	0.165	0	0	0.370	0.451
ALOX5	CD14	9606.ENSP00000363512	9606.ENSP00000385519	0	0	0	0	0.329	0	0	0.166	0.416
ALOX5	IL10	9606.ENSP00000363512	9606.ENSP00000412237	0	0	0	0	0.050	0	0	0.435	0.440
ALOX5	IL6	9606.ENSP00000363512	9606.ENSP00000385675	0	0	0	0	0.042	0	0	0.529	0.529
ALOX5	TNF	9606.ENSP00000363512	9606.ENSP00000398698	0	0	0	0	0.146	0	0	0.579	0.625
